0,13343
1,35876
2,162682
3,1642900
4,35081
5,1813
6,31688
7,4734912
8,108617
9,54754
10,2714965
11,207787
12,53313
13,15869
14,237630
15,623429
16,46439
17,73156
18,10755
19,208682
20,1247
21,195409
22,1672534
23,14292
24,271160
25,23175
26,1086
27,5216837
28,940929
29,286538
30,393702
31,776701
32,203695
33,347815
34,14815
35,1038320
36,5417598
37,6301
38,155821
39,91904
40,12854
41,249
42,42952
43,43760
44,36026
45,33961
46,1397021
47,858313
48,455212
49,6543
50,51127
51,2021968
52,7332
53,6742
54,26688
55,91162
56,2011428
57,1427813
58,11676
59,381170
60,566696
61,49891
62,161035
63,50566
64,18918
65,10113
66,278535
67,861729
68,589759
69,58655
70,10687
71,21633
72,530086
73,40090
74,69348
75,1841294
76,883
77,164878
78,30757
79,5495640
80,152926
81,17064
82,225165
83,1577494
84,94415
85,10715
86,48272
87,16790
88,96959
89,64951
90,59023
91,181981
92,213202
93,42038
